Location name,Coordinates,Radius (Meters),City,
Berns,"59.3323018762151, 18.073660667806372",50,Stockholm,
Spy Bar,"59.336635373412236, 18.07203500369082",30,Stockholm,
Stureplan,"59.33613477041701, 18.072709483738915",40,Stockholm,
Sturegallerian,"59.33612604651912, 18.07341186056933",70,Stockholm,
Sturehof,"59.33588372406485, 18.073320493186365",40,Stockholm,
Hell's Kitchen,"59.33652180407504, 18.073398852588472",30,Stockholm,
Kung Carl,"59.33639066950681, 18.071336453368364",30,Stockholm,
The International Bar,"59.33573995145015, 18.07074383975921",30,Stockholm,
Riksdagshuset,"59.32748552733943, 18.067368420975686",60,Stockholm,
Medborgarplatsen,"59.31520173696786, 18.072159655350507",100,Stockholm,
Östermalmstorg,"59.33602477712689, 18.079068559693255",100,Stockholm,
Globen,"59.29357027475163, 18.08306307196173",110,Stockholm,
Tele2 Arena,"59.29114293223581, 18.084362246189382",250,Stockholm,
Stockholm Stadion,"59.34543163739522, 18.078994443570483",200,Stockholm,
KTH,"59.34962847680543, 18.07017931070242",500,Stockholm,
Försvarshögskolan,"59.349057350220605, 18.06911479336454",60,Stockholm,
Stockholms Universitet,"59.36486474924547, 18.05850434774754",500,Stockholm,
Strawberry Arena,"59.3727155130612, 18.000524348503813",250,Stockholm,/ Friends arena
Stockholmsmässan,"59.27834242588684, 18.016171983024023",250,Stockholm,
Karlaplan,"59.33769828815381, 18.09004394777749",100,Stockholm,
Fältöversten,"59.339624542070545, 18.091486691805308",80,Stockholm,
Östra Real,"59.33934240599428, 18.08610890402068",150,Stockholm,
Humlegården,"59.33947674570373, 18.07251642211842",400,Stockholm,
Gröna Lund,"59.323435467615425, 18.096551618291777",300,Stockholm,
Hasselbacken,"59.32527977791397, 18.0988973360441",100,Stockholm,
Vasamuseet,"59.3280640697818, 18.091404006763522",100,Stockholm,
Nordiska Museet,"59.32915051775341, 18.093876001847942",100,Stockholm,
Josefina,"59.32953923073643, 18.092288704265616",100,Stockholm,
Strandbryggan,"59.33139478929132, 18.092772733957517",50,Stockholm,
Glashuset,"59.331245929126716, 18.082619719421405",40,Stockholm,
Ångbåtsbryggan,"59.33097386760586, 18.083190161590437",40,Stockholm,
Strandvägen 1,"59.3326997010669, 18.077694977637385",40,Stockholm,
Riche,"59.33361969506097, 18.07549865943521",40,Stockholm,
Soap Bar,"59.33337099761847, 18.07614468283602",40,Stockholm,
Balettakademin,"59.34332474289985, 18.063850856045782",40,Stockholm,
Viktor Rydberg Jarlaplan,"59.34345112237072, 18.0647639121403",100,Stockholm,
Norra Real,"59.343888049800846, 18.061464208597975",50,Stockholm,
Jensen Norra,"59.34799637394628, 18.056906226656476",100,Stockholm,
PA Fogelström,"59.3165397031252, 18.08512422954556",150,Stockholm,
Manilla,"59.32353446328103, 18.133334802392486",250,Stockholm,
Marina Läroverket,"59.382108148246175, 18.050328104796353",150,Stockholm,
Södra Latin,"59.31681798822901, 18.069104719809562",200,Stockholm,
Kungliga Operan,"59.32964111179902, 18.069964550311482",100,Stockholm,
Operakällaren,"59.329666761268996, 18.071487492712414",60,Stockholm,
Café Opera,"59.330092325355714, 18.071151130488225",100,Stockholm,
Kungsträdgården,"59.33125640732784, 18.071538484794424",200,Stockholm,
Stockholm Centralstation,"59.33168869289725, 18.054986948245848",200,Stockholm,
Dramaten,"59.333304552749375, 18.07695424726042",150,Stockholm,
Östermalms saluhall,"59.335978662773954, 18.0778410046287",100,Stockholm,
Astoria,"59.334833538188626, 18.077345576613805",60,Stockholm,
Rålambshovsparken,"59.32858764234535, 18.024730182196837",250,Stockholm,
Handelshögskolan,"59.34164570880056, 18.056985722828813",200,Stockholm,
Berghs,"59.35830216078226, 18.09142326754667",70,Stockholm,
Södertörns Högskola,"59.21954687398392, 17.9432414760744",250,Stockholm,
Södra Teatern,"59.318416478823906, 18.07434112123545",100,Stockholm,
Mosebacketerassen,"59.31847641662107, 18.075137126026814",60,Stockholm,
Mosebacke Torg,"59.317977713906174, 18.074456913255037",70,Stockholm,
Soho House,"59.33673600386256, 18.077573196289155",100,Stockholm,
SATS Stureplan,"59.33443754250064, 18.07559942604526",100,Stockholm,
SATS Soho,"59.31369095666295, 18.075537081865654",100,Stockholm,
SATS Karlaplan,"59.336538407736526, 18.09497372604546",100,Stockholm,
SATS Zenit,"59.33262058659733, 18.060454454880844",100,Stockholm,
Founders House,"59.337666710154615, 18.08723378269544",50,Stockholm,
Founders House,"59.308481164833594, 18.06622176837215",50,Stockholm,
Convendum Slussen,"59.319264246768725, 18.07568789720854",50,Stockholm,
Convendum Vasagatan,"59.330359127639014, 18.060010412551897",50,Stockholm,
Casa de Gillberg,"59.28214231951684, 18.028018009576087",50,Stockholm,
